problem,seed,reduction_factor,redundancy_rate,max_internal_nodes_seen_isalsr,total_dags_explored_isalsr,unique_canonical_dags,r2_train_baseline,r2_train_isalsr,r2_test_baseline,r2_test_isalsr,nrmse_train_baseline,nrmse_train_isalsr,nrmse_test_baseline,nrmse_test_isalsr,delta_r2_train,delta_r2_test,delta_nrmse_train,delta_nrmse_test,model_complexity_baseline,model_complexity_isalsr,wall_clock_search_only_s_baseline,wall_clock_search_only_s_isalsr,overhead_time_s,canonicalization_runtime_s,solution_recovered_baseline,solution_recovered_isalsr
i.30.3,9,1.81449399882519,0.4488821673439214,30.0,2069630.0,1140610.0,1.0,1.0,1.0,1.0,1.9477214190533184e-11,9.83821430297134e-12,1.7360146862630115e-11,9.500444119226381e-12,0.0,0.0,-9.638999887561845e-12,-7.859702743403734e-12,25.0,31.0,10386.479032104835,3650.5118449833244,2371.0097395377234,2371.0097395377234,False,False
i.30.3,10,1.8074703968333836,0.44674059295689694,21.0,1077650.0,596220.0,0.9998006881901058,1.0,0.999818659863635,1.0,0.014117783462504155,1.7200644512843382e-09,0.013466259182303696,1.932043434219514e-09,0.00019931180989418706,0.00018134013636494917,-0.014117781742439703,-0.013466257250260261,32.0,22.0,15845.738529263064,1456.5633378583007,960.8726064255461,960.8726064255461,False,False
i.30.3,11,1.818046376188384,0.44995902574468705,30.0,3111710.0,1711568.0,1.0,1.0,1.0,1.0,1.0872743510368454e-10,4.727514627420694e-13,1.0522165984559122e-10,4.296710768023868e-13,0.0,0.0,-1.0825468364094247e-10,-1.0479198876878883e-10,32.0,31.0,6531.38749459805,4196.381177356467,2918.231897333637,2918.231897333637,False,False
i.30.3,12,1.8243150234562908,0.45184905723934077,29.0,5937350.0,3254564.0,1.0,1.0,1.0,1.0,3.0008006264100414e-09,4.260307347190432e-09,3.0543949636797647e-09,4.364045603411517e-09,0.0,0.0,1.259506720780391e-09,1.3096506397317522e-09,30.0,30.0,8503.220605779905,9859.175207707565,5932.937706738245,5932.937706738245,False,False
i.30.3,13,1.8212270446091938,0.45091964071147206,26.0,2871230.0,1576536.0,1.0,1.0,1.0,1.0,5.13660205137049e-09,9.821060242482004e-12,5.310537113944656e-09,9.679563373856032e-12,0.0,0.0,-5.126780991128008e-09,-5.3008575505708e-09,32.0,27.0,3541.2137615638785,4398.5831203018315,2554.278149000369,2554.278149000369,False,False
i.30.3,14,1.8317149277791311,0.45406352001921324,23.0,10992440.0,6001174.0,1.0,1.0,1.0,1.0,1.434750185365094e-09,1.1650648461889137e-10,1.2712152372078444e-09,1.0619431991995631e-10,0.0,0.0,-1.3182437007462027e-09,-1.1650209172878881e-09,26.0,24.0,7084.711696621031,21285.213570337277,11716.568338520825,11716.568338520825,False,False
i.30.3,15,1.8120411181865703,0.44813614328974705,17.0,2440370.0,1346752.0,0.9999722968535559,1.0,0.9999522501636968,1.0,0.005263377854960442,2.464920660920107e-16,0.006910125635848928,2.570805521382708e-16,2.7703146444069127e-05,4.7749836303179194e-05,-0.005263377854960196,-0.006910125635848671,32.0,18.0,15488.25646507321,2814.1366430721246,1992.4201529547572,1992.4201529547572,False,True
i.30.3,16,1.8084050021906186,0.4470265240426531,20.0,1192880.0,659631.0,1.0,1.0,1.0,1.0,8.506553605702096e-10,2.805318860765191e-16,9.075240841422264e-10,3.0653662348726954e-16,0.0,0.0,-8.506550800383235e-10,-9.07523777605603e-10,28.0,21.0,2959.6893563470803,1346.5643321503885,994.8862568265758,994.8862568265758,False,False
i.30.3,17,1.8227630956216807,0.45138235330634946,27.0,6443360.0,3534941.0,0.9991114501774081,1.0,0.9990387951066156,1.0,0.029808552842965595,3.626357300319457e-11,0.031003304555874488,3.550077037974501e-11,0.0008885498225918997,0.0009612048933843598,-0.029808552806702023,-0.03100330452037372,32.0,28.0,14590.792445108294,10726.300982638728,6392.743591852486,6392.743591852486,False,False
i.30.3,18,1.814934631500425,0.4490159685953594,31.0,3793070.0,2089921.0,0.999943945886456,1.0,0.9999516168326898,1.0,0.0074869295137626616,1.224092810688649e-09,0.0069558009826474,1.2830705535546684e-09,5.605411354403511e-05,4.838316731015091e-05,-0.007486928289669851,-0.0069557996995768465,31.0,32.0,15184.311116162222,5822.544125998393,4002.8753181216307,4002.8753181216307,False,False
i.30.3,19,1.8186724707884658,0.45014838237120247,26.0,5556590.0,3055300.0,0.9998763981606605,1.0,0.999888941174551,1.0,0.011117636409752467,3.6616720196041027e-16,0.010538445115339724,4.385615323176513e-16,0.00012360183933946,0.00011105882544903967,-0.0111176364097521,-0.010538445115339285,32.0,27.0,15981.175719093997,8597.246147061698,5498.498248413205,5498.498248413205,False,False
i.30.3,20,1.8125498173510102,0.4482910260301306,24.0,1548590.0,854371.0,1.0,1.0,1.0,1.0,5.965105814464876e-10,1.9686530062816376e-09,6.048027092048656e-10,2.0455931082195514e-09,0.0,0.0,1.37214242483515e-09,1.4407903990146857e-09,28.0,25.0,7224.869327893015,1864.4375453554094,1297.7129364903085,1297.7129364903085,False,False
i.30.3,21,1.8245310551495149,0.4519139604789829,30.0,4058600.0,2224462.0,1.0,0.9999999999999999,1.0,0.9999999999999999,2.4709221399305458e-09,8.000205849642033e-09,2.4223413724338146e-09,8.035325123551984e-09,-1.1102230246251565e-16,-1.1102230246251565e-16,5.529283709711488e-09,5.61298375111817e-09,25.0,31.0,13513.310540283099,8023.609080852475,5062.141565669328,5062.141565669328,False,False
i.30.3,22,1.8138137120100983,0.44867546574461414,22.0,1819130.0,1002931.0,1.0,1.0,1.0,1.0,3.5393572522993512e-16,2.5278326225211445e-16,3.7730959605185563e-16,2.9092031324091413e-16,0.0,0.0,-1.0115246297782067e-16,-8.63892828109415e-17,29.0,23.0,1324.282239410095,3115.91327538481,2036.7945429072715,2036.7945429072715,False,True
i.30.3,23,1.805787295236866,0.4462249221501863,13.0,195890.0,108479.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.2332383080616424e-08,2.334987918701682e-16,1.3611161468233371e-08,3.1021189052566044e-16,1.1102230246251565e-16,2.220446049250313e-16,-1.2332382847117633e-08,-1.3611161158021481e-08,32.0,14.0,2604.810269273352,250.25154250813648,135.71160380216315,135.71160380216315,False,True
i.30.3,24,1.8257272189214082,0.45227305063087475,26.0,7520510.0,4119186.0,0.998573157088991,1.0,0.9982916672800786,1.0,0.037773574241908824,3.111475961968996e-16,0.04133198180491078,3.814322484238149e-16,0.0014268429110090297,0.0017083327199214349,-0.03777357424190851,-0.0413319818049104,32.0,27.0,17101.364710391965,15038.818965038285,8152.039850423578,8152.039850423578,False,False
i.30.3,25,1.8241860883117562,0.4518103134283422,30.0,9499460.0,5207506.0,1.0,1.0,1.0,1.0,4.8743348369908076e-12,6.148939264767344e-10,5.165917033437386e-12,6.648408681664544e-10,0.0,0.0,6.100195916397436e-10,6.59674951133017e-10,32.0,31.0,1564.0062891603447,19420.078777722083,11270.861733088735,11270.861733088735,False,False
i.30.3,26,1.8219856552049416,0.45114825841616324,26.0,7540550.0,4138644.0,1.0,1.0,1.0,1.0,2.0848538548842918e-10,2.4231153201470584e-16,2.1499734855485707e-10,2.6912607079656464e-16,0.0,0.0,-2.0848514317689717e-10,-2.1499707942878627e-10,27.0,27.0,932.9073761031032,14818.760683848057,8507.958013348747,8507.958013348747,False,True
i.30.3,27,1.8277219370142301,0.4528708225532371,29.0,10451360.0,5718244.0,1.0,1.0,1.0,1.0,1.761964528910419e-09,7.854090659716828e-12,1.6852350535168553e-09,7.600725344032206e-12,0.0,0.0,-1.7541104382507022e-09,-1.6776343281728231e-09,28.0,30.0,14074.922127140686,20970.398977011908,11541.354819359258,11541.354819359258,False,False
i.30.3,28,1.8194327322068882,0.45037814133032217,20.0,3808100.0,2093015.0,1.0,1.0,1.0,1.0,1.4226564605425876e-15,2.750175799282507e-12,1.4038333660471053e-15,2.6625556775897343e-12,0.0,0.0,2.7487531428219647e-12,2.661151844223687e-12,29.0,21.0,15626.208377674222,5256.896841666661,3864.934120385442,3864.934120385442,False,False
i.30.3,30,1.8283395654386456,0.45305564737364024,30.0,9499460.0,5195676.0,1.0,1.0,1.0,1.0,3.4776641792254567e-10,2.52895094621184e-09,3.6577997553728663e-10,2.7014315109357925e-09,0.0,0.0,2.1811845282892944e-09,2.335651535398506e-09,29.0,31.0,690.7491845479235,20616.54728162149,11172.271806852426,11172.271806852426,False,False
i.37.4,1,1.8093851891342017,0.4473260829118956,26.0,5912300.0,3267574.0,1.0,1.0,1.0,1.0,8.827617222702926e-11,1.0800950990836124e-09,9.035709535520113e-11,1.1768749576963066e-09,0.0,0.0,9.918189268565832e-10,1.0865178623411055e-09,31.0,27.0,13276.888093173038,10227.386081177741,6836.198073498439,6836.198073498439,False,False
i.37.4,2,1.812532268050037,0.44828568427318405,30.0,5711900.0,3151337.0,1.0,1.0,1.0,1.0,4.759782998668393e-09,6.513225994392218e-10,4.4027538264082406e-09,6.247989886932353e-10,0.0,0.0,-4.108460399229171e-09,-3.777954837715005e-09,32.0,31.0,14584.565505327657,11562.404134171084,6584.186607824173,6584.186607824173,False,False
i.37.4,3,1.7946683801817658,0.44279399412011755,23.0,952400.0,530683.0,0.9988819117262006,1.0,0.9987483473879136,1.0,0.03343782698979466,2.5784976244215655e-13,0.03537870280389562,2.428857343150011e-13,0.0011180882737994446,0.0012516526120863736,-0.03343782698953681,-0.03537870280365273,32.0,24.0,14170.366433850955,1629.824054013472,959.3588819443248,959.3588819443248,False,False
i.37.4,4,1.814328483431585,0.44883189062400664,30.0,11954360.0,6588862.0,0.9998036292899783,0.9998476224826393,0.999837854628048,0.9998689133253656,0.014013233389253359,0.012344128861963958,0.012733631530400082,0.011449308915140417,4.399319266090718e-05,3.10586973176763e-05,-0.0016691045272894008,-0.0012843226152596653,31.0,31.0,14637.335936748888,27277.70739544835,14367.226125357673,14367.226125357673,False,False
i.37.4,5,1.8003434783311172,0.4445504360495809,20.0,1894280.0,1052177.0,1.0,1.0,1.0,1.0,7.89887008471246e-16,1.50016137686004e-11,8.286448033093013e-16,1.4380443957948475e-11,0.0,0.0,1.500082388159193e-11,1.4379615313145166e-11,26.0,21.0,13534.671178503893,3088.2447913708165,2078.257229926996,2078.257229926996,False,False
i.37.4,6,1.8094905106354693,0.4473582513296446,31.0,11841134.0,6543905.0,1.0,0.9999973492716275,1.0,0.9999963986456133,9.850317385190565e-12,0.0016281057620751655,9.378458426888937e-12,0.0018977234747659594,-2.650728372466382e-06,-3.60135438670639e-06,0.001628105752224848,0.001897723465387501,23.0,32.0,1115.1915605128743,27663.839057413395,14671.520264002495,14671.520264002495,True,False
i.37.4,7,1.8109989358977745,0.44781856014494803,29.0,7064600.0,3900941.0,1.0,1.0,1.0,1.0,1.6820695697492738e-09,1.1592532797824961e-11,1.7158697401598879e-09,1.1487231863705402e-11,0.0,0.0,-1.6704770369514489e-09,-1.7043825082961826e-09,31.0,30.0,6640.853148828261,16617.41223667795,10001.598742275033,10001.598742275033,False,False
